1.00_cycle,1.00_alpha1_2,1.00_alpha1_3,1.00_alpha2_3,1.04_cycle,1.04_alpha1_2,1.04_alpha1_3,1.04_alpha2_3,1.08_cycle,1.08_alpha1_2,1.08_alpha1_3,1.08_alpha2_3,1.16_cycle,1.16_alpha1_2,1.16_alpha1_3,1.16_alpha2_3,1.29_cycle,1.29_alpha1_2,1.29_alpha1_3,1.29_alpha2_3,1.55_cycle,1.55_alpha1_2,1.55_alpha1_3,1.55_alpha2_3,2.85_cycle,2.85_alpha1_2,2.85_alpha1_3,2.85_alpha2_3,6.03_cycle,6.03_alpha1_2,6.03_alpha1_3,6.03_alpha2_3
0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
1,1.25639586313060,2.28160979284775,1.81599594506989,1,1.30991513956731,2.37880058184105,1.81599594507077,1,1.35775982123368,2.46568632973781,1.81599594506888,1,1.46091754939855,2.65302034576342,1.81599594505223,1,1.61547342779509,2.93369319421827,1.81599594505393,1,1.94983620351247,3.54089463909801,1.81599594505393,1,3.57641657108661,6.49475799091800,1.81599594505422,1,7.57223137293201,13.7511414682547,1.81599594505393
2,1.25639586312809,2.28160979282314,1.81599594505393,2,1.30991513956389,2.37880058181278,1.81599594505393,2,1.35775982123179,2.46568632971409,1.81599594505393,2,1.46091754943674,2.65302034583526,1.81599594505393,2,1.61547342779509,2.93369319421829,1.81599594505395,2,1.94983620351249,3.54089463909960,1.81599594505474,2,3.57641656966595,6.49475798843553,1.81599594508147,2,7.57223137293200,13.7511414682547,1.81599594505393
3,1.25639586312808,2.28160979282315,1.81599594505394,3,1.30991513956389,2.37880058181283,1.81599594505397,3,1.35775982123179,2.46568632971425,1.81599594505405,3,1.46091754943675,2.65302034583725,1.81599594505529,3,1.61547342779524,2.93369319428017,1.81599594509209,3,1.94983620351247,3.54089463909801,1.81599594505393,3,3.57641657112695,6.49475799098964,1.81599594505376,3,7.57223137293208,13.7511414682547,1.81599594505392
4,1.25639586312809,2.28160979282401,1.81599594505462,4,1.30991513956389,2.37880058181751,1.81599594505754,4,1.35775982123181,2.46568632973469,1.81599594506908,4,1.46091754943674,2.65302034583527,1.81599594505394,4,1.61547342779509,2.93369319421827,1.81599594505394,4,1.94983620351247,3.54089463909801,1.81599594505393,4,3.57641657112662,6.49475799098965,1.81599594505394,4,7.57223137293213,13.7511414682549,1.81599594505393
5,1.25639586312809,2.28160979284719,1.81599594507306,5,1.30991513956395,2.37880058197228,1.81599594517561,5,1.35775982123179,2.46568632971410,1.81599594505394,5,1.46091754943674,2.65302034583527,1.81599594505394,5,1.61547342779509,2.93369319421827,1.81599594505394,5,1.94983620351247,3.54089463909801,1.81599594505393,5,3.57641657112665,6.49475799098970,1.81599594505393,5,7.57223137293297,13.7511414682547,1.81599594505371
6,1.25639586312809,2.28160979282314,1.81599594505393,6,1.30991513956389,2.37880058181279,1.81599594505394,6,1.35775982123179,2.46568632971410,1.81599594505394,6,1.46091754943674,2.65302034583526,1.81599594505394,6,1.61547342779509,2.93369319421827,1.81599594505393,6,1.94983620351247,3.54089463909801,1.81599594505393,6,3.57641657112663,6.49475799098962,1.81599594505392,,,,
7,1.25639586312809,2.28160979282315,1.81599594505394,7,1.30991513956389,2.37880058181279,1.81599594505394,7,1.35775982123179,2.46568632971410,1.81599594505394,7,1.46091754943674,2.65302034583526,1.81599594505394,7,1.61547342779509,2.93369319421827,1.81599594505393,7,1.94983620351248,3.54089463909801,1.81599594505393,7,3.57641657112662,6.49475799098961,1.81599594505393,,,,
8,1.25639586312809,2.28160979282315,1.81599594505394,8,1.30991513956389,2.37880058181279,1.81599594505394,8,1.35775982123179,2.46568632971409,1.81599594505394,8,1.46091754943674,2.65302034583526,1.81599594505393,8,1.61547342779509,2.93369319421827,1.81599594505393,8,1.94983620351248,3.54089463909801,1.81599594505393,,,,,,,,
9,1.25639586312808,2.28160979282315,1.81599594505394,9,1.30991513956389,2.37880058181279,1.81599594505394,9,1.35775982123179,2.46568632971409,1.81599594505394,9,1.46091754943674,2.65302034583526,1.81599594505393,9,1.61547342779509,2.93369319421827,1.81599594505393,9,1.94983620351248,3.54089463909801,1.81599594505393,,,,,,,,
10,1.25639586312809,2.28160979282315,1.81599594505394,10,1.30991513956389,2.37880058181278,1.81599594505394,10,1.35775982123179,2.46568632971409,1.81599594505394,10,1.46091754943674,2.65302034583526,1.81599594505393,10,1.61547342779509,2.93369319421827,1.81599594505393,10,1.94983620351248,3.54089463909807,1.81599594505396,,,,,,,,
11,1.25639586312809,2.28160979282315,1.81599594505394,11,1.30991513956389,2.37880058181278,1.81599594505394,11,1.35775982123179,2.46568632971409,1.81599594505393,11,1.46091754943674,2.65302034583526,1.81599594505393,11,1.61547342779509,2.93369319421827,1.81599594505393,11,1.94983620351248,3.54089463909851,1.81599594505418,,,,,,,,
12,1.25639586312809,2.28160979282315,1.81599594505394,12,1.30991513956389,2.37880058181278,1.81599594505394,12,1.35775982123179,2.46568632971409,1.81599594505393,12,1.46091754943674,2.65302034583526,1.81599594505393,12,1.61547342779509,2.93369319421827,1.81599594505393,12,1.94983620351248,3.54089463909985,1.81599594505487,,,,,,,,
